Company,Brand,Product,Actual,Budgeted,Dummy,Month,Year, Price (US/ TT) , A&P 
Alstons Marketing Co,Clean & White,1.89L,2880,3500,0,January,2019, $7.74 ,
Alstons Marketing Co,Clean & White,3.78L,6048,7480,0,January,2019, $8.53 ,
Alstons Marketing Co,Clean & White,475ML,1728,1600,1,January,2019, $9.70 ,
Alstons Marketing Co,Clean & White,950ML,2520,3200,0,January,2019, $7.80 ,
Alstons Marketing Co,Clean & White,1.89L,2432,4000,0,February,2019, $7.74 ,
Alstons Marketing Co,Clean & White,3.78L,7176,7980,0,February,2019, $8.53 ,
Alstons Marketing Co,Clean & White,475ML,1104,2000,0,February,2019, $9.70 ,
Alstons Marketing Co,Clean & White,950ML,2492,3800,0,February,2019, $7.80 ,
Alstons Marketing Co,Clean & White,1.89L,3328,4500,0,March,2019, $7.74 ,
Alstons Marketing Co,Clean & White,3.78L,5856,9460,0,March,2019, $8.53 ,
Alstons Marketing Co,Clean & White,475ML,2388,2200,1,March,2019, $9.70 ,
Alstons Marketing Co,Clean & White,950ML,2768,4000,0,March,2019, $7.80 ,
Alstons Marketing Co,Clean & White,1.89L,2816,4500,0,April,2019, $7.74 ,
Alstons Marketing Co,Clean & White,3.78L,6960,8980,0,April,2019, $8.53 ,
Alstons Marketing Co,Clean & White,475ML,1968,2200,0,April,2019, $9.70 ,
Alstons Marketing Co,Clean & White,950ML,3928,4000,0,April,2019, $7.80 ,
Alstons Marketing Co,Clean & White,1.89L,3776,5000,0,May ,2019, $7.74 ,
Alstons Marketing Co,Clean & White,3.78L,6288,9980,0,May ,2019, $8.53 ,
Alstons Marketing Co,Clean & White,475ML,1920,2400,0,May ,2019, $9.70 ,
Alstons Marketing Co,Clean & White,950ML,3360,4500,0,May ,2019, $7.80 ,
Alstons Marketing Co,Clean & White,1.89L,3840,4000,0,June,2019, $7.74 ,
Alstons Marketing Co,Clean & White,3.78L,8256,8460,0,June,2019, $8.53 ,
Alstons Marketing Co,Clean & White,475ML,2148,1900,1,June,2019, $9.70 ,
Alstons Marketing Co,Clean & White,950ML,3192,3800,0,June,2019, $7.80 ,
Alstons Marketing Co,Clean & White,1.89L,3584,4500,0,July,2019, $7.74 ,
Alstons Marketing Co,Clean & White,3.78L,6432,9460,0,July,2019, $8.53 ,
Alstons Marketing Co,Clean & White,475ML,2580,2200,1,July,2019, $9.70 ,
Alstons Marketing Co,Clean & White,950ML,4032,4000,1,July,2019, $7.80 ,
Alstons Marketing Co,Clean & White,1.89L,4608,4500,1,August,2019, $7.74 ,
Alstons Marketing Co,Clean & White,3.78L,7824,8980,0,August,2019, $8.53 ,
Alstons Marketing Co,Clean & White,475ML,2232,2200,1,August,2019, $9.70 ,
Alstons Marketing Co,Clean & White,950ML,4032,4000,1,August,2019, $7.80 ,
Alstons Marketing Co,Clean & White,1.89L,3600,5000,0,September,2019, $7.74 ,
Alstons Marketing Co,Clean & White,3.78L,8016,11960,0,September,2019, $8.53 ,
Alstons Marketing Co,Clean & White,475ML,2400,2500,0,September,2019, $9.70 ,
Alstons Marketing Co,Clean & White,950ML,3136,5000,0,September,2019, $7.80 ,
Alstons Marketing Co,Clean & White,1.89L,5632,5500,1,October,2019, $7.74 ,
Alstons Marketing Co,Clean & White,3.78L,9907,12480,0,October,2019, $8.53 ,
Alstons Marketing Co,Clean & White,475ML,3048,2700,1,October,2019, $9.70 ,
Alstons Marketing Co,Clean & White,950ML,4948,5500,0,October,2019, $7.80 ,
Alstons Marketing Co,Clean & White,1.89L,4864,5500,0,November,2019, $7.74 ,
Alstons Marketing Co,Clean & White,3.78L,9738,13480,0,November,2019, $8.53 ,
Alstons Marketing Co,Clean & White,475ML,2528,3000,0,November,2019, $9.70 ,
Alstons Marketing Co,Clean & White,950ML,5035,6000,0,November,2019, $7.80 ,
Alstons Marketing Co,Clean & White,1.89L,4736,5000,0,December,2019, $7.74 ,
Alstons Marketing Co,Clean & White,3.78L,16288,11960,1,December,2019, $8.53 ,
Alstons Marketing Co,Clean & White,475ML,1980,1800,1,December,2019, $9.70 ,
Alstons Marketing Co,Clean & White,950ML,3584,4500,0,December,2019, $7.80 ,
Alstons Marketing Co,Hi Dee,1.89L,450,400,1,January,2019, $7.62 ,
Alstons Marketing Co,Hi Dee,3.78L,700,450,1,January,2019, $8.06 ,
Alstons Marketing Co,Hi Dee,475ML,120,75,1,January,2019, $8.67 ,
Alstons Marketing Co,Hi Dee,950ML,400,200,1,January,2019, $7.68 ,
Alstons Marketing Co,Hi Dee,1.89L,0,450,0,February,2019, $7.62 ,
Alstons Marketing Co,Hi Dee,3.78L,0,500,0,February,2019, $8.06 ,
Alstons Marketing Co,Hi Dee,475ML,0,90,0,February,2019, $8.67 ,
Alstons Marketing Co,Hi Dee,950ML,0,250,0,February,2019, $7.68 ,
Alstons Marketing Co,Hi Dee,1.89L,400,500,0,March,2019, $7.62 ,
Alstons Marketing Co,Hi Dee,3.78L,400,700,0,March,2019, $8.06 ,
Alstons Marketing Co,Hi Dee,475ML,100,120,0,March,2019, $8.67 ,
Alstons Marketing Co,Hi Dee,950ML,150,300,0,March,2019, $7.68 ,
